task,model,n,mean_chars,median_chars,p95_chars,max_chars,length_score_pearson
single,deepseek-llm-7b-chat,715,278.48,274,521,1674,-0.1555
single,deepseek-v2-lite-chat,715,432.45,482,717,1502,-0.1594
single,glm-z1-32b-0414,715,912.76,914,964,999,0.1723
single,glm-z1-9b-0414,715,900.71,902,952,1221,0.1898
single,glm4-32b-0414,715,859.74,918,977,2348,0.0698
single,glm4-9b-0414,715,896.48,921,977,2999,0.0324
single,internlm2.5-1.8b-chat,715,624.69,635,885,1267,-0.2835
single,internlm2.5-20b-chat,715,674.82,673,865,2085,-0.1955
single,internlm2.5-7b-chat,715,624.0,618,786,1914,-0.1952
single,qwen2.5-1.5b-instruct,715,428.17,461,666,2197,-0.1998
single,qwen2.5-14b-instruct,715,485.41,495,661,1598,-0.2168
single,qwen2.5-32b-instruct,715,481.13,485,625,2193,-0.2319
single,qwen2.5-7b-instruct,715,546.21,550,711,2044,-0.1381
multi,deepseek-llm-7b-chat,400,361.47,365.5,661,855,-0.1276
multi,deepseek-v2-lite-chat,400,573.41,602.0,835,929,-0.1391
multi,glm-z1-32b-0414,400,893.3,895.0,946,1132,0.1607
multi,glm-z1-9b-0414,400,882.95,883.0,940,1103,0.2054
multi,glm4-32b-0414,400,848.0,898.0,1007,6531,0.04
multi,glm4-9b-0414,400,869.67,899.5,1000,2530,-0.0258
multi,internlm2.5-1.8b-chat,400,588.88,627.0,895,950,-0.3856
multi,internlm2.5-20b-chat,400,641.55,643.0,924,1540,-0.1213
multi,internlm2.5-7b-chat,400,620.5,615.5,909,1167,-0.1379
multi,qwen2.5-1.5b-instruct,400,475.87,489.5,821,1713,0.0535
multi,qwen2.5-14b-instruct,400,629.1,619.5,933,2496,-0.1013
multi,qwen2.5-32b-instruct,400,633.78,620.5,932,1312,-0.1062
multi,qwen2.5-7b-instruct,400,693.59,730.0,954,1106,-0.0685
