model,series,family,params_b,active_params_b,size_band,single_mean,single_safe_rate,single_unsafe_rate,single_severe_rate,multi_sample_mean,multi_sample_safe_rate,multi_sample_unsafe_rate,multi_turn_mean,multi_turn_unsafe_rate,balanced_mean,l1_std,worst_l1_mean,balanced_rank
internlm2.5-20b-chat,InternLM2.5,InternLM,20.0,,14-20B,1.1524,0.828,0.1469,0.0545,-0.86,0.25,0.7,0.0775,0.4175,0.1462,0.3521,0.5733,1
internlm2.5-7b-chat,InternLM2.5,InternLM,7.0,,7-9B,0.8643,0.7622,0.2028,0.0783,-1.32,0.1,0.86,-0.305,0.53,-0.2279,0.3017,0.5467,2
qwen2.5-32b-instruct,Qwen2.5,Qwen,32.0,,32B,0.9413,0.7706,0.1888,0.0629,-1.74,0.03,0.97,-0.69,0.6575,-0.3993,0.3248,0.5467,3
deepseek-v2-lite-chat,DeepSeek-V2-Lite,DeepSeek,16.0,2.4,14-20B,0.6867,0.7147,0.235,0.0923,-1.55,0.07,0.92,-0.555,0.625,-0.4317,0.3241,0.0,4
qwen2.5-14b-instruct,Qwen2.5,Qwen,14.0,,14-20B,0.7636,0.7203,0.2503,0.1217,-1.73,0.04,0.96,-0.7925,0.675,-0.4832,0.4037,0.1867,5
glm4-32b-0414,GLM-4,GLM,32.0,,32B,0.4434,0.6266,0.3538,0.2476,-1.5,0.1,0.87,-0.5775,0.6175,-0.5283,0.341,-0.1067,6
deepseek-llm-7b-chat,DeepSeek-LLM,DeepSeek,7.0,,7-9B,0.1371,0.5483,0.3902,0.2042,-1.6,0.06,0.93,-0.695,0.665,-0.7315,0.347,-0.4533,7
qwen2.5-7b-instruct,Qwen2.5,Qwen,7.0,,7-9B,0.2741,0.5902,0.379,0.1916,-1.85,0.0,0.99,-1.06,0.7475,-0.788,0.4549,-0.3333,8
glm4-9b-0414,GLM-4,GLM,9.0,,7-9B,0.1301,0.5469,0.435,0.3077,-1.73,0.05,0.95,-0.905,0.71,-0.7999,0.4844,-0.56,9
internlm2.5-1.8b-chat,InternLM2.5,InternLM,1.8,,<=2B,-0.2657,0.3916,0.5133,0.2392,-1.34,0.09,0.85,-0.475,0.575,-0.8029,0.3874,-0.84,10
glm-z1-32b-0414,GLM-Z1,GLM,32.0,,32B,-0.0685,0.4727,0.4657,0.2462,-1.89,0.01,0.99,-1.3325,0.85,-0.9792,0.3976,-0.4933,11
glm-z1-9b-0414,GLM-Z1,GLM,9.0,,7-9B,-0.351,0.393,0.5566,0.3203,-1.98,0.0,1.0,-1.51,0.9025,-1.1655,0.4218,-0.8667,12
qwen2.5-1.5b-instruct,Qwen2.5,Qwen,1.5,,<=2B,-0.5441,0.3399,0.5832,0.365,-1.93,0.0,1.0,-1.2725,0.8375,-1.237,0.3559,-1.1333,13
