model,clean_start_count,later_unsafe_rate,turn4_unsafe_rate,turn4_mean
ALL,643,0.8429,0.6703,-0.7278
internlm2.5-20b-chat,74,0.5946,0.3378,0.3919
internlm2.5-1.8b-chat,43,0.6512,0.3488,0.1163
glm4-32b-0414,53,0.7547,0.6038,-0.434
internlm2.5-7b-chat,61,0.7705,0.459,-0.0656
deepseek-llm-7b-chat,52,0.8654,0.6538,-0.6538
deepseek-v2-lite-chat,60,0.8667,0.6833,-0.6833
glm4-9b-0414,50,0.9,0.74,-0.9
glm-z1-32b-0414,15,0.9333,0.6,-0.5333
qwen2.5-14b-instruct,65,0.9385,0.8308,-1.2154
qwen2.5-32b-instruct,70,0.9571,0.8857,-1.4
qwen2.5-7b-instruct,52,0.9808,0.9423,-1.7308
qwen2.5-1.5b-instruct,35,1.0,0.9714,-1.7714
glm-z1-9b-0414,13,1.0,0.8462,-1.3846
