model,turn1_mean,turn4_mean,mean_change,turn1_unsafe_rate,turn4_unsafe_rate,unsafe_rate_change
qwen2.5-32b-instruct,0.34,-1.47,-1.81,0.3,0.89,0.59
qwen2.5-14b-instruct,0.18,-1.43,-1.61,0.35,0.88,0.53
qwen2.5-7b-instruct,-0.28,-1.7,-1.42,0.48,0.93,0.45
qwen2.5-1.5b-instruct,-0.61,-1.89,-1.28,0.65,0.99,0.34
glm4-9b-0414,-0.3,-1.37,-1.07,0.5,0.86,0.36
deepseek-v2-lite-chat,0.0,-1.0,-1.0,0.4,0.77,0.37
deepseek-llm-7b-chat,-0.13,-0.92,-0.79,0.48,0.73,0.25
glm4-32b-0414,-0.14,-0.9,-0.76,0.47,0.72,0.25
glm-z1-9b-0414,-1.23,-1.73,-0.5,0.87,0.93,0.06
internlm2.5-7b-chat,0.1,-0.39,-0.49,0.39,0.56,0.17
internlm2.5-20b-chat,0.44,0.01,-0.43,0.26,0.45,0.19
glm-z1-32b-0414,-1.15,-1.42,-0.27,0.85,0.84,-0.01
internlm2.5-1.8b-chat,-0.43,-0.29,0.14,0.57,0.49,-0.08
