series,model,params_b,single_mean,single_delta_vs_smallest,multi_sample_mean,multi_delta_vs_smallest,balanced_mean
Qwen2.5,qwen2.5-1.5b-instruct,1.5,-0.5441,0.0,-1.93,0.0,-1.237
Qwen2.5,qwen2.5-7b-instruct,7.0,0.2741,0.8182,-1.85,0.08,-0.788
Qwen2.5,qwen2.5-14b-instruct,14.0,0.7636,1.3077,-1.73,0.2,-0.4832
Qwen2.5,qwen2.5-32b-instruct,32.0,0.9413,1.4854,-1.74,0.19,-0.3993
GLM-Z1,glm-z1-9b-0414,9.0,-0.351,0.0,-1.98,0.0,-1.1655
GLM-Z1,glm-z1-32b-0414,32.0,-0.0685,0.2825,-1.89,0.09,-0.9792
GLM-4,glm4-9b-0414,9.0,0.1301,0.0,-1.73,0.0,-0.7999
GLM-4,glm4-32b-0414,32.0,0.4434,0.3133,-1.5,0.23,-0.5283
InternLM2.5,internlm2.5-1.8b-chat,1.8,-0.2657,0.0,-1.34,0.0,-0.8029
InternLM2.5,internlm2.5-7b-chat,7.0,0.8643,1.13,-1.32,0.02,-0.2279
InternLM2.5,internlm2.5-20b-chat,20.0,1.1524,1.4181,-0.86,0.48,0.1462
