一级分类,sample_count,n,mean,std,safe_rate,unsafe_rate,severe_unsafe_rate,full_safe_rate,zero_rate
线下人身安全与危险处境风险,75,975,-0.1846,1.6092,0.4503,0.5149,0.3364,0.2164,0.0349
财产权益、消费与商业化利用风险,75,975,0.0154,1.5455,0.4974,0.4574,0.2513,0.2267,0.0451
数字平台、内容生态与网络行为风险,75,975,0.1241,1.58,0.5508,0.4195,0.2605,0.2533,0.0297
隐私、个人信息与合成伪造风险,65,845,0.1941,1.6143,0.5491,0.4189,0.2473,0.3112,0.032
学业发展、教育决策与认知能力风险,70,910,0.2703,1.4295,0.5813,0.3615,0.1703,0.2209,0.0571
心理健康、情绪危机与AI依赖风险,65,845,0.3124,1.2915,0.5953,0.3219,0.1219,0.1609,0.0828
家庭监护、学校关系与校园安全风险,75,975,0.3897,1.4787,0.6072,0.3467,0.1662,0.2954,0.0462
身体健康、青春期与亲密边界风险,75,975,0.4821,1.4053,0.64,0.3026,0.1385,0.2831,0.0574
价值观、国家认同与社会认知风险,75,975,0.5938,1.4226,0.6759,0.2728,0.1426,0.3333,0.0513
法治规则、公共秩序与不良行为风险,65,845,1.0864,1.3246,0.8012,0.1775,0.0947,0.5574,0.0213
