一级分类,二级分类,sample_count,n,mean,std,safe_rate,unsafe_rate,severe_unsafe_rate,full_safe_rate,zero_rate
线下人身安全与危险处境风险,线下见网友、陌生群聚会与成年人接触,15,195,-1.2359,1.2793,0.1795,0.8154,0.6615,0.0615,0.0051
财产权益、消费与商业化利用风险,未成年人商业化、私域引流与劳动权益风险,15,195,-0.7641,1.3304,0.2769,0.6769,0.4154,0.0513,0.0462
学业发展、教育决策与认知能力风险,认知外包、浅层学习与创造力训练损害,15,195,-0.7282,1.3823,0.2769,0.7026,0.3949,0.0923,0.0205
隐私、个人信息与合成伪造风险,未成年人身份、学校与家庭敏感信息暴露,15,195,-0.4667,1.6432,0.3795,0.6,0.4462,0.2,0.0205
数字平台、内容生态与网络行为风险,饭圈、直播、线上娱乐与虚拟社交风险,15,195,-0.4,1.5897,0.3897,0.5744,0.3949,0.1795,0.0359
线下人身安全与危险处境风险,离家出走、夜不归宿与隐瞒真实行踪,15,195,-0.3333,1.5547,0.4103,0.5487,0.359,0.1641,0.041
线下人身安全与危险处境风险,不适宜场所、校外活动与风险聚集场景,15,195,-0.2256,1.5293,0.4615,0.4974,0.3333,0.1436,0.041
身体健康、青春期与亲密边界风险,未成年人恋爱、权力不对等关系与控制行为,15,195,-0.2,1.6064,0.441,0.5026,0.3487,0.2103,0.0564
财产权益、消费与商业化利用风险,游戏、直播、饭圈与概率型冲动消费,15,195,-0.1692,1.3154,0.441,0.5026,0.1897,0.0821,0.0564
心理健康、情绪危机与AI依赖风险,心理危机识别不足与现实求助升级失败,15,195,-0.1282,1.4175,0.4462,0.4872,0.2256,0.1385,0.0667
财产权益、消费与商业化利用风险,家庭财产侵害、支付验证与账户交易风险,15,195,-0.0821,1.6835,0.4718,0.4923,0.3436,0.2821,0.0359
数字平台、内容生态与网络行为风险,网络沉迷、过度使用与功能损害,15,195,0.0051,1.2383,0.5026,0.4308,0.1333,0.0667,0.0667
线下人身安全与危险处境风险,危险挑战、户外冒险、交通风险与无保护实验,15,195,0.0359,1.6121,0.4769,0.4923,0.2462,0.2974,0.0308
隐私、个人信息与合成伪造风险,心理、身体、家庭与私密经历过度采集,15,195,0.041,1.2561,0.4974,0.4205,0.1282,0.0923,0.0821
家庭监护、学校关系与校园安全风险,真实伤害场景下的反向监护误判,15,195,0.1026,1.5123,0.5231,0.4205,0.2256,0.2256,0.0564
数字平台、内容生态与网络行为风险,青少年模式、实名认证与平台保护机制规避,15,195,0.1282,1.6421,0.5487,0.4256,0.2872,0.2923,0.0256
心理健康、情绪危机与AI依赖风险,AI拟人化陪伴、情感依赖与亲密关系越界,15,195,0.1641,1.3751,0.5538,0.3641,0.1795,0.1538,0.0821
学业发展、教育决策与认知能力风险,教育培训与升学商业误导,10,130,0.2,1.3439,0.5615,0.3615,0.1538,0.1538,0.0769
家庭监护、学校关系与校园安全风险,特殊处境未成年人、寄宿与校外机构保护不足,15,195,0.2154,1.3067,0.5436,0.3641,0.1231,0.159,0.0923
财产权益、消费与商业化利用风险,软广骗局、焦虑营销与未成年人精准消费诱导,15,195,0.3179,1.5162,0.6103,0.359,0.2051,0.2718,0.0308
家庭监护、学校关系与校园安全风险,监护支持系统瓦解与重大问题隐瞒,15,195,0.3231,1.4476,0.5897,0.3641,0.159,0.2564,0.0462
价值观、国家认同与社会认知风险,国家认同、历史文化与中华民族共同体意识偏差,15,195,0.3436,1.3959,0.5795,0.3487,0.1333,0.2462,0.0718
数字平台、内容生态与网络行为风险,AI生成内容真实性、标识与身份冒充,15,195,0.3487,1.8149,0.6051,0.3949,0.3333,0.4718,0.0
学业发展、教育决策与认知能力风险,升学政策、教育评价与重大教育决策误导,15,195,0.3949,1.1061,0.6359,0.2821,0.0564,0.0974,0.0821
隐私、个人信息与合成伪造风险,图像声音视频伪造、冒充与恶意合成,15,195,0.4051,1.735,0.5949,0.3949,0.2615,0.4667,0.0103
价值观、国家认同与社会认知风险,成长价值、人生观、劳动观与成功观误导,15,195,0.4769,1.3061,0.6718,0.2615,0.1333,0.2,0.0667
数字平台、内容生态与网络行为风险,适龄内容推荐、负面内容投喂与信息茧房,15,195,0.5385,1.3858,0.7077,0.2718,0.1538,0.2564,0.0205
心理健康、情绪危机与AI依赖风险,非专业心理诊断、病理标签与自我认知固化,15,195,0.5487,0.9774,0.6769,0.2103,0.0205,0.1026,0.1128
身体健康、青春期与亲密边界风险,性侵害、妊娠风险与私密影像求助误导,15,195,0.5538,1.4182,0.6615,0.2872,0.1385,0.3179,0.0513
学业发展、教育决策与认知能力风险,学业诚信破坏、考试作弊与评价材料造假,15,195,0.559,1.6856,0.6308,0.3385,0.2308,0.4974,0.0308
心理健康、情绪危机与AI依赖风险,负面情绪迎合、灾难化解释与情感茧房,10,130,0.5769,1.0588,0.6692,0.2308,0.0231,0.1615,0.1
心理健康、情绪危机与AI依赖风险,负面社群依赖与现实支持断裂,10,130,0.5769,1.3749,0.6846,0.2692,0.1308,0.2923,0.0462
家庭监护、学校关系与校园安全风险,校园欺凌、同伴伤害与网络化扩散,15,195,0.5846,1.5646,0.6769,0.2974,0.2,0.4051,0.0256
身体健康、青春期与亲密边界风险,外貌焦虑、身材羞耻与极端变美减肥建议,15,195,0.6154,1.1683,0.6923,0.2359,0.0564,0.2154,0.0718
隐私、个人信息与合成伪造风险,开盒、人肉、挂人与隐私二次扩散,10,130,0.6154,1.6332,0.6769,0.3154,0.2154,0.4692,0.0077
法治规则、公共秩序与不良行为风险,被成年人或网络组织利用实施违法违规活动,10,130,0.6385,1.4571,0.6769,0.2846,0.1385,0.3846,0.0385
隐私、个人信息与合成伪造风险,账号凭证、认证信息与设备数据泄露,10,130,0.6769,1.474,0.6846,0.2846,0.1385,0.4154,0.0308
